Company Name,Industry,Round/Series,Location,About Company,Cleaned_amount($),Year,Company/Brand,HeadQuarter,Sector,Investor,Amount($),Stage,Company_Name,column10
,,,,,,2020,,Bangalore,Media,"AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",1300000.0,Seed,Chingari,0
,,,,,,2020,,Gurugram,Media,"Eagle10 Ventures, India Accelerator, HNIs",300000.0,Series A,Bolo Indya,0
,,,,,,2020,,Kolkata,AI,"Uday Sodhi, Mitesh Shah, Nitin Jain",266500.0,0,Data Sutram,0
,,,,,,2020,,Delhi,AI,Sequoia Capital India,2500000.0,Series A,Wobot Intelligence,0
,,,,,,2020,,Bangalore,Appliance,Sequoia Surge,2879000.0,Series A,DrinkPrime,0
,,,,,,2020,,Gurugram,HR tech,Y Combinator,700000.0,0,Infeedo,0
,,,,,,2020,,Delhi,IoT,Unicorn India Ventures,0.0,Seed,Probus Smart Things,0
,,,,,,2020,,Bangalore,Tech,Elina Investments,0.0,Angel,CrowdPouch,0
,,,,,,2020,,Mumbai,Food tech,Coatue Management,26500000.0,Series E,Rebel Foods,0
,,,,,,2020,,Bangalore,Tech,"Qualgro, Lachy Groom",8000000.0,Series A,Hevo,0
,,,,,,2020,,Ahmedabad,Foodtech,"Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Series A,BigSpoon Foods,0
,,,,,,2020,,Bangalore,Media,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",1000000.0,Seed,Chingari,0
,,,,,,2020,,Bangalore,Media,"All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",351000.0,0,ShareChat,0
,,,,,,2020,,Delhi,Hospitality,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",0.0,0,DatStop,0
,,,,,,2020,,Mumbai,Mental Health,Indian Angel Fund,0.0,Seed,IPHM Services,0
,,,,,,2020,,Gurugram,Healthtech,Inflection Point Ventures,200000.0,0,Wellcure,0
,,,,,,2020,,Bangalore,Ecommerce,"N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",0.0,,VilCart,0
,,,,,,2020,,Mumbai,Gaming,Crazy Labs,500000.0,0,Firescore,0
,,,,,,2020,,Gurgaon,Social commerce,Info Edge,0.0,0,BulBul,0
,,,,,,2020,,Mumbai,Edtech,Foundation Holdings,46761000.0,Series D,Toppr,0
,,,,,,2020,,Bangalore,Fintech,"Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000.0,Seed,Pickright Technologies,0
,,,,,,2020,,Chennai,Tech,Dr. Bhaskar Rao Bollineni,3000000.0,0,Muse Wearables,0
,,,,,,2020,,Delhi,Fintech,BlueOrchard Finance Limited,0.0,0,SATYA Microcapital,0
,,,,,,2020,,Gurugram,Media,India Angel Fund,0.0,Seed,WYN Studio,0
,,,,,,2020,,Bangalore,Solar Solution,ResponsAbility Investments AG,15000000.0,0,Fourth Partner Energy,0
,,,,,,2020,,Kochi,Edtech,Good Capital,1700000.0,Series A,Entri,0
,,,,,,2020,,Mumbai,Foodtech,Dr Srinivas Chunduru,0.0,0,Snack Amor,0
,,,,,,2020,,Gurugram,SaaS,"Ashok Nichani, Shelly Nichani",21000000.0,Series A,MPowered,0
,,,,,,2020,,Gurugram,Social e-commerce,Titan Capital,0.0,0,Leap Club,0
,,,,,,2020,,Bangalore,Automobile,Hero MotoCorp,11241000.0,Series C,Ather Energy,0
,,,,,,2020,,Bangalore,HR tech,Unitus Venture,804000.0,0,Gigforce,0
,,,,,,2020,,Bangalore,Agritech,"Matrix Partners India, Ankur Capital",2500000.0,Seed,Vegrow,0
,,,,,,2020,,Bangalore,Fintech,"Unicorn India, PointOne Capital, Astir Ventures",0.0,Series A,Finn,0
,,,,,,2020,,0,B2B marketplace,"Sequoia Capital India, Matrix Partners India, InfoEdge, Waterbridge Ventures",10000000.0,Series A,Bijnis,0
,,,,,,2020,,Bangalore,Edtech,BlackSoil Capital,1340000.0,0,iNurture,0
,,,,,,2020,,Gurugram,Fashion Tech,Survam Partners,467000.0,Series A,StyleDotMe,0
,,,,,,2020,,Mumbai,Nutrition tech,Ah! Ventures,133000.0,0,Ripsey,0
,,,,,,2020,,Pune,Health & Wellness,Rajesh Ranavat,0.0,Seed,ThriveFNC,0
,,,,,,2020,,Bangalore,Edtech,Coatue,100000000.0,Series D,Vedantu,0
,,,,,,2020,,Gurugram,0,Samsung Venture Investment Corporation,7000000.0,Series D,Magicpin,0
,,,,,,2020,,Delhi,Agritech,Sequoia Surge,3823000.0,0,Procol,0
,,,,,,2020,,Mumbai,Cloud Kitchen,Jetty Ventures,1000000.0,Series A,Yumlane,0
,,,,,,2020,,Bangalore,Edtech,021 Capital,934000.0,0,Crio,0
,,,,,,2020,,Bangalore,IoT,Unicorn India Ventures,500000.0,0,Openapp,0
,,,,,,2020,,Gurugram,IoT/Automobile,LetsVenture Syndicate,293000.0,0,PumPumPum,0
,,,,,,2020,,Pune,Edtech,Chennai Angels,0.0,0,uFony Services Pvt ltd,0
,,,,,,2020,,Mumbai,Fashion,SucSEED Ventures,0.0,Series A,Protinus Fashion Networking Pvt Ltd,0
,,,,,,2020,,Bangalore,Edtech,3one4 Capital,0.0,Seed,Uable,0
,,,,,,2020,,Delhi,IoT,Ah! Ventures,198000.0,0,ParkSmart,0
,,,,,,2020,,Bangalore,Healthtech,Incubate Fund,927000.0,Seed,Plum,0
,,,,,,2020,,Hyderabad,Ecommerce,RPSG Ventures,4000000.0,Series A,IncNut Digital,0
,,,,,,2020,,Pune,Tech,Incubate Fund India,971000.0,Series A,GigIndia,0
,,,,,,2020,,Chennai,Eye Wear,Eight Road Ventures,3060000.0,0,Specsmaker,0
,,,,,,2020,,Bangalore,SaaS,"JAFCO Asia, Artha Venture Fund",1862000.0,Series A,Piggy Ride,0
,,,,,,2020,,Chennai,Beverage,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000.0,0,Chai Waale,0
,,,,,,2020,,Mumbai,Food,WEH Ventures,0.0,Seed,NOTO,0
,,,,,,2020,,Bangalore,Edtech,Trifecta Capital,2888000.0,Series B,Cuemath,0
,,,,,,2020,,Gurgaon,Automobile,Vivriti Capital,1328000.0,0,Cars24,0
,,,,,,2020,,Pune,Digital tech,"Adar Poonawalla, Kris Gopalakrishnan",40000000.0,0,JetSynthesys,0
,,,,,,2020,,Mumbai,Automobile,LR Joshi,0.0,Seed,Earth Energy EV,0
,,,,,,2020,,Delhi,Health & Wellness,Venture Catalysts,0.0,0,Green Cure,0
,,,,,,2020,,Gurugram,Data Intelligence,"Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000.0,Seed,Blue Sky Analytics,0
,,,,,,2020,,Jaipur,Edtech,Mumbai Angel Network,0.0,0,Edhusk,0
,,,,,,2020,,Bangalore,Fintech,Y Combinator,15500000.0,Series A,Decentro,0
,,,,,,2020,,Bangalore,Co-living,"Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000.0,Series C,Zolostays,0
,,,,,,2020,,Jaipur,Ecommerce,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000.0,Series A,Frontier Markets,0
,,,,,,2020,,Kerala,Agritech,"Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",0.0,0,Brainwired,0
,,,,,,2020,,Gurugram,Fintech,Invest in Vision,16753000.0,Series E,Aye Finance,0
,,,,,,2020,,Gurugram,Food & Beverages,"Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures",3700000.0,0,Paper Boat,0
,,,,,,2020,,Bangalore,Edtech,Turbostart,1470000.0,0,Ken42,0
,,,,,,2020,,Delhi,Food,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",1000000.0,Seed,Forbidden Foods,0
,,,,,,2020,,Bangalore,Fashion,NB Ventures,530000.0,0,Universal Sportsbiz,0
,,,,,,2020,,Gurugram,Retail Tech,Sauce vc,500000.0,Seed,Gobbly,0
,,,,,,2020,,Chennai,Automotive,Mumbai Angels Network,0.0,0,Aerostrovilos,0
,,,,,,2020,,Bangalore,Media,"3One4 Capital, LetsVenture",267000.0,Seed,Mitron,0
,,,,,,2020,,Mumbai,B2B,Stride Ventures,3344000.0,0,Bulk MRO,0
,,,,,,2020,,Delhi,AI,"Better Capital, Titan Capital",600000.0,Series A,Inspektlabs,0
,,,,,,2020,,Chennai,Defense tech,Mumbai Angels Network,1000000.0,Series A,Big Bang Boom Solutions,0
,,,,,,2020,,Chennai,Edtech,Lightbox Ventures,7200000.0,Series B,Flinto,0
,,,,,,2020,,Bangalore,Marketplace,Greenoaks,21000000.0,Series C,Zetwerk,0
,,,,,,2020,,Hyderabad,Fintech,Unicorn India Ventures,650000.0,Series A,ChitMonks,0
,,,,,,2020,,Bangalore,Fintech,Better Capital,0.0,Seed,Walrus,Pre-Seed
,,,,,,2020,,Hyderebad,Construction tech,"Startup-O, Eden Ventures",1100000.0,0,Arth Designbuild,0
,,,,,,2020,,Mumbai,Fintech,"Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",1700000.0,Seed,goDutch,Seed Round
,,,,,,2020,,Delhi,Digital Media,"InfoEdge Venture Fund, Sprout Venture Partners",0.0,Seed,Rusk Media,0
,,,,,,2020,,Mumbai,Health & Wellness,"Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",0.0,Seed,Bold Care,0
,,,,,,2020,,Bangalore,Food,Inflection Point Ventures,0.0,0,Samosa Party,0
,,,,,,2020,,New Delhi,Ecommerce,"SAIF Partners, India Quotient",2743000.0,Series C,High Street Essentials,0
,,,,,,2020,,Bangalore,Edtech,BOND,0.0,0,Byju's,0
,,,,,,2020,,Bangalore,Fintech,Gunosy,6082000.0,Series B,Slice,0
,,,,,,2020,,Bangalore,Gaming,"Leo capital, Ramakant Sharma",1500000.0,Series A,Bombay Play,0
,,,,,,2020,,Mumbai,Healthtech,Amansa Capital,6609000.0,0,Fullife,0
,,,,,,2020,,0,Nutrition,Matrix Partners,5000000.0,Series A,Oziva,0
,,,,,,2020,,Gurugram,Fintech,"Capital G, Alphabet's Independent growth fund",27700000.0,Series E,Aye Finance,0
,,,,,,2020,,Delhi,Medtech,Chiratae Ventures,0.0,Seed,Aether Biomedical,0
,,,,,,2020,,Delhi,Coworking,"Pearl Brook Holdings Ltd, Al Nour International Holdings Co.",5940000.0,0,91springboard,0
,,,,,,2020,,0,Micro-mobiity,Rocketship,3964000.0,0,Yulu,0
,,,,,,2020,,Gurugram,Logistics,Inflection Point Ventures,5500000.0,0,Milkbasket,0
,,,,,,2020,,Noida,Marketplace,"Nadir Godrej, Individual Investors",197000.0,0,MergerDomo,0
,,,,,,2020,,Delhi,Auto-tech,Pawan Munjal,0.0,Series B,GoMechanic,0
,,,,,,2020,,Odisha,Food,US International Development Finance Corporation,10000000.0,0,Milk Mantra,0
,,,,,,2020,,Mumbai,Beauty,"Tano India, L’Occitane, Bessemer",4327000.0,0,Myglamm,0
,,,,,,2020,,Bangalore,AI,Sozo Ventures,25000000.0,Series B,Drishti Technologies,0
,,,,,,2020,,Noida,Edtech,Undisclosed,2000000.0,Series A,Instasolv,0
,,,,,,2020,,Bangalore,Fintech,Rainmatter Capital,459000.0,0,GoldenPi,0
,,,,,,2020,,0,Robotics,"Venture Catalysts, Naveen Kshatriya,",0.0,Seed,Peppermint,0
,,,,,,2020,,Mumbai,Yoga & wellness,Shikhar Dhawan,0.0,0,Sarva,0
,,,,,,2020,,Mumbai,Fintech,"Arkam Ventures, Nabventures",3937000.0,Series A,Jai Kisan,0
,,,,,,2020,,New Delhi,Agritech,Mumbai Angels Network,0.0,0,Agro2o,0
,,,,,,2020,,Bangalore,Logitech,Stride Ventures,1313500.0,0,LetsTransport,0
,,,,,,2020,,Pune,Ecommerce,Venture Catalysts,0.0,0,GabbarDeals,0
,,,,,,2020,,Delhi,Med Tech,Mumbai Angels Network,229800.0,0,Crimson Healthcare,0
,,,,,,2020,,Bangalore,Life sciences,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",0.0,Seed,Biomoneta,0
,,,,,,2020,,Bangalore,Edtech,Inflection Point Ventures,150000.0,Seed,Edvizo,0
,,,,,,2020,,Mumbai,SaaS,"Iron Pillar, Blume Ventures",11370000.0,Series C,Servify,0
,,,,,,2020,,Mumbai,Food,"Danone Manifesto, Mousse Partners",5305000.0,0,Drum Food,0
,,,,,,2020,,Bangalore,SaaS,"Entrepreneurial Development Bank, Bessemer Venture Partners",0.0,Series C,Innoviti,0
,,,,,,2020,,0,AI,Nexus Venture Partners,18000000.0,Series A,Jiffy ai,0
,,,,,,2020,,0,Tech,Insight Partners,150000000.0,Series C,Postman,0
,,,,,,2020,,0,Retail Aggregator,Venture Catalysts,0.0,0,F5,0
,,,,,,2020,,Chennai,Agritech,Induslnd Bank,5500000.0,Series C,Waycool,0
,,,,,,2020,,0,Deep Tech AI,Pratithi,0.0,0,Myelin Foundry,0
,,,,,,2020,,Bangalore,Biotech,"PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI",264000.0,Angel,Ameliorate Biotech,0
,,,,,,2020,,Gurugram,Blockchain,Anand Mahindra,1000000.0,0,Hapramp,0
,,,,,,2020,,Bangalore,HrTech,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",0.0,0,MyKaam,0
,,,,,,2020,,Bangalore,Healthtech,"JSW Ventures, Chiratae Ventures, Kalaari Capital",6000000.0,Series B,HealthPlix,0
,,,,,,2020,,Gurugram,Mobility/Transport,Nexus Venture Partners,3300000.0,Series A,YoloBus,0
,,,,,,2020,,0,Edtech,Kimera Ltd,4000000.0,0,iNurture Education,0
,,,,,,2020,,Bangalore,Gaming,Gameskraft,1750000.0,Series A,Pocket52,0
,,,,,,2020,,Hyderabad,Travel,Anthill Ventures,1000000.0,0,QuaQua,0
,,,,,,2020,,Delhi,Agritech,Smile group,1000000.0,0,Crofarm,0
,,,,,,2020,,Bangalore,Foodtech,Rangsons Technologies,0.0,Series A,Timios,0
,,,,,,2020,,Jaipur,Ecommerce,IAN Fund,3000000.0,Series A,Wooden Street,0
,,,,,,2020,,Chennai,Fintech,WSV Capital,5967000.0,Series D,BankBazaar,0
,,,,,,2020,,Bangalore,Rental,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment",2980000.0,0,Rentmojo,0
,,,,,,2020,,0,AI & Debt,Titan Capital,0.0,Seed,Credgencies,0
,,,,,,2020,,Delhi,SaaS/Edtech,100x VC,323000.0,Series A,Knorish,0
,,,,,,2020,,Bangalore,Logitech,Black Soil,1326000.0,0,LetsTransport,0
,,,,,,2020,,0,Transport,"Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",0.0,Seed,Vahak,0
,,,,,,2020,,Mumbai,Nutrition,DSG Consumer Partners,0.0,Series A,Nutrova,0
,,,,,,2020,,Mumbai,SaaS,"Beenext, Asuka Holding",500000.0,,Cube Wealth,0
,,,,,,2020,,Bangalore,Healthtech,Vertex Ventures SEA & India,5000000.0,Series A,IVF Access,0
,,,,,,2020,,Delhi,Foodtech,Crowd Fund,2000000.0,Series A,Hoi Foods,0
,,,,,,2020,,Bangalore,Fintech,Matrix Partners,27000000.0,Series A,Ola Financial Services,0
,,,,,,2020,,Delhi,Co-working,"Bisque Limited, Link Investment Trust.",5200000.0,0,Awifs,0
,,,,,,2020,,Bangalore,Logistics,Undisclosed,55000000.0,0,Dunzo,0
,,,,,,2020,,Gurugram,Edtech,"Stellaris Venture Partners, Venture Highway",0.0,Seed,Swiflearn,0
,,,,,,2020,,Delhi,Healthtech,River Rock Ventures. Inflection Point Ventures,0.0,Series A,Remedo,0
,,,,,,2020,,Bangalore,Logistics,Trifecta Capital,0.0,0,Blowhorn,0
,,,,,,2020,,Mumbai,AI,"Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures",1000000.0,Series A,Toch,0
,,,,,,2020,,Noida,Insurtech,"EMVC, Flourish, Omidyar Network India",0.0,Series A,Gram Cover,0
,,,,,,2020,,Mumbai,Cryptocurrency,Polychain Capital,2500000.0,0,Coin DCX,0
,,,,,,2020,,Mumbai,Fintech,Varanium NexGen Fund,0.0,0,HomeCapital,0
,,,,,,2020,,Delhi,Automotive tech,Inventus III India Fund,2530000.0,Series A,Euler Motors,0
,,,,,,2020,,Mumbai,Insurtech,"Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital",0.0,Series A,Riskcovry,0
,,,,,,2020,,Delhi,Healthtech,Amit Burman,0.0,Series A,NWNT (No Worry No Tension Healthcare),0
,,,,,,2020,,Gurugram,AI,Bharti Airtel,0.0,0,Voicezen,0
,,,,,,2020,,Gurugram,0,"Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover",340000.0,Seed,Leap Club,0
,,,,,,2020,,Chennai,Fintech,"IDG Ventures, Elevar Equity, Accion",792000.0,0,Credit Mantri,0
,,,,,,2020,,Gurugram,Fintech,Angel Investors,1000000.0,0,Xtracap,0
,,,,,,2020,,Mumbai,Media,"Kalyan Krishnamurthy, Sujeet Kumar, Keshav Sanghi, Roman Saini, Sumit Jain, Hemesh Singh",0.0,0,Tring,0
,,,,,,2020,,Chennai,Legal,Sujeet Kumar,0.0,0,Vakilsearch,0
,,,,,,2020,,Bangalore,Fintech,B Capital Group,60000000.0,Series B,Khatabook,0
,,,,,,2020,,Ahmedabad,Fintech,"Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",11363000.0,Series D,LendingKart,0
,,,,,,2020,,0,Edtech,Angel investors. HNI,100000.0,Seed,Illumnus,0
,,,,,,2020,,Bangalore,Logitech,Innoven Capital,1715000.0,0,LetsTransport,0
,,,,,,2020,,Bihar,Agritech,"Tracxn Labs, Angellist, Tri-Deep Capital",329000.0,Seed,Eggoz,0
,,,,,,2020,,Bangalore,Edtech,"Ankit Bhati, Nitin Gupta",0.0,0,Winuall,0
,,,,,,2020,,Hyderabad,Fintech,Gray Matters Capital,5271000.0,Seed,Indian School Finance Company,0
,,,,,,2020,,0,0,Akya Ventures,650000.0,Series A,Juicy Chemistry,0
,,,,,,2020,,Pune,Healthtech,GHV Accelerator,0.0,0,DeepTek,0
,,,,,,2020,,Mumbai,Fitness,"Josh Liberman, Mark Adams",0.0,0,Stepathlon Lifestyle,0
,,,,,,2020,,Noida,Fintech,Nordic Microfinance Initiative,8700000.0,0,Sindhuja Microcredit,0
,,,,,,2020,,Bangalore,Rental,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche",3226000.0,0,Rentmojo,0
,,,,,,2020,,Gujarat,EV,Mumbai Angels Network,0.0,0,Tesco Charge Zone,0
,,,,,,2020,,Gurugram,"Supply chain, Agritech",Saama Capital,5900000.0,Series A,Intello Labs,0
,,,,,,2020,,Gurugram,SaaS,"Tiger Global, Avatar Growth Capital",44000000.0,Series C,SirionLabs,0
,,,,,,2020,,Gurugram,0,Lightspeed Venture Partners,3879000.0,0,Magicpin,0
,,,,,,2020,,Gurugram,B2B,Unicorn Investments Pte Ltd,0.0,Seed,GroCurv,0
,,,,,,2020,,Bangalore,SaaS,"Vijay Shekhar Sharma, Anupam Mittal",1000000.0,Seed,Refrens,0
,,,,,,2020,,0,Logitech,"Tribe Capital, Innoven Capital, BII",13000000.0,Series C,Shiprocket,0
,,,,,,2020,,Gurugram,AI,"Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal",0.0,Series A,Spyne,0
,,,,,,2020,,Mumbai,Ecommerce,Steadview capital,8800000.0,0,Nykaa,0
,,,,,,2020,,Bangalore,Healthtech,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC",9500000.0,0,Docsapp,0
,,,,,,2020,,0,Healthtech,Inflection Point Ventures,1000000.0,Series A,Phable,0
,,,,,,2020,,0,Pharma,Ratan Tata,0.0,0,Generic Aadhaar,0
,,,,,,2020,,0,Fintech,"VisaVentures, BRI Ventures",0.0,0,Nium,0
,,,,,,2020,,Mumbai,Fintech,Pravega Ventures,2000000.0,Series A,Mintoak,0
,,,,,,2020,,Pune,Spacetech,Next Capital,10000000.0,0,VestSpace,0
,,,,,,2020,,Bangalore,Logistics,Trifecta Venture,0.0,0,Blackbuck,0
,,,,,,2020,,Bangalore,AI,"Exfinity Ventures, IAN Fund",5100000.0,Series A,Vernacular ai,0
,,,,,,2020,,Bangalore,Agritech,Alteria Capital,920000.0,0,Clover,0
,,,,,,2020,,Bangalore,Fintech,ChrysCapital,15000000.0,Series D,Varthana,0
,,,,,,2020,,Bangalore,SaaS,"Hari Balasubramanian, EaSyndicate",0.0,Seed,Codeninja,0
,,,,,,2020,,Pune,Insurance technology,Good Capital,0.0,Series A,MetaMerphoSys,0
,,,,,,2020,,Delhi,Gaming,"Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Series A,Rooter,0
,,,,,,2020,,Pune,Foodtech & Logistics,Mumbai Angels Network,0.0,0,Aker Foods,0
,,,,,,2020,,Kerala,Healthtech,Unicorn India Ventures,0.0,0,Sascan Meditech pvt ltd,0
,,,,,,2020,,0,Media,Lupa India,35600000.0,0,DailyHunt,0
,,,,,,2020,,Bangalore,Media,Tencent,9400000.0,Series C,Pratilipi,0
,,,,,,2020,,Delhi,Food,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000.0,Series B,Biryani By Kilo,0
,,,,,,2020,,Delhi,Healthtech,"Accel Partners, Jungle Ventures",480000.0,0,Consure Medical,0
,,,,,,2020,,Mumbai,0,Barkawi,250000.0,0,Servify,0
,,,,,,2020,,Mumbai,Logistics,1Funds Domestic Scheme,160000.0,Series A,Tessol,0
,,,,,,2020,,Noida,Healthtech,RiverRock Ventures,0.0,Series A,Remedo,0
,,,,,,2020,,Ahmedabad,Media,Mumbai Angels Network,0.0,0,News Reach,0
,,,,,,2020,,Noida,Housing,Mumbai Angels Network,0.0,0,RoomSoom,0
,,,,,,2020,,0,Edtech,Inflection Point Ventures,400000.0,0,Pedagogy,0
,,,,,,2020,,Delhi,Edtech,RTP Global,8200000.0,Series B,Classplus,0
,,,,,,2020,,Bangalore,Pharmaceutical,Hero Fincorp,15500000.0,0,Medlife,0
,,,,,,2020,,Noida,Edtech,Venture Catalysts,0.0,0,Qin1,0
,,,,,,2020,,Delhi,Tech,Undisclosed,4257000.0,Series A,MYSUN,0
,,,,,,2020,,Bangalore,Ecommerce,Li and Fung,1410000.0,0,ShopX,0
,,,,,,2020,,0,Yoga & wellness,"Mantra Capital, Patni Family",0.0,0,Sarva,0
,,,,,,2020,,Mumbai,AI,"Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",0.0,Seed,Expertrons,0
,,,,,,2020,,Gurugram,Digital Media,North Base Media,1500000.0,Series A,NewsBytes,0
,,,,,,2020,,Bangalore,0,Investment Trust of India,500000.0,0,Wagonfly,0
,,,,,,2020,,0,Fintech,Angel investors,2100000.0,Series A,NIRA,0
,,,,,,2020,,Hyderabad,Data Analytics,"IvyCap Ventures, Sequoia Capital",4000000.0,Series A,Convosight,0
,,,,,,2020,,Pune,Fitness,"Sequoia Capital Surge, Better Capital",2000000.0,0,Fittr,0
,,,,,,2020,,Bangalore,Investment Tech,Ravikanth Reddy & Mumbai Angel Network,0.0,0,AsknBid,0
,,,,,,2020,,Bangalore,Beverage,"Sequoia Capital, Sofina",20000000.0,Series C,Bira91,0
,,,,,,2020,,Pune,Fintech,Pinetree Capital,0.0,Series A,Finaureus Technologies,0
,,,,,,2020,,Haryana,Ecommerce,Big Basket,349800.0,0,Daily Ninja,0
,,,,,,2020,,Chennai,Edtech,Education Catalyst Fund,786000.0,Series A,Guvi Geek Network Pvt Ltd,0
,,,,,,2020,,Bangalore,Logistics,CDC Group,2004000.0,Series B,LoadShare,0
,,,,,,2020,,Bangalore,Edtech,KB Global Platform Firm,6800000.0,Series C,Vedantu,0
,,,,,,2020,,0,IT,Tata Capital Growth Fund II,5000000.0,0,Indusface,0
,,,,,,2020,,Delhi,Financial Services,NXC Corporation,123000000.0,0,DMI Group,0
,,,,,,2020,,Goa,IoT,Saltwater Venture Sparks,248000.0,Series A,Spintly,0
,,,,,,2020,,Mumbai,Automobile,Stride Ventures,0.0,0,Credr,0
,,,,,,2020,,Gurugram,Agritech,RTP Global,12000000.0,Series A,Bijak,0
,,,,,,2020,,Bangalore,Biopharma,"University of Tokyo Edge Capital, Global Brain Corporation",7500000.0,0,Bugworks,0
,,,,,,2020,,Bangalore,0,"Abhishek Goyal, Bharat Jaisinghani, FirstCheque",0.0,Seed,DrinkPrime,0
,,,,,,2020,,Chennai,Fintech,BeeNext,4500000.0,Series A,Yap,0
,,,,,,2020,,Tamil Nadu,Dairy,Angel Network,0.0,0,UzhavarBumi,0
,,,,,,2020,,Delhi,Beauty & wellness,"Sukhbir Singh, Rakhee Singal",150000.0,0,Tattva,0
,,,,,,2020,,Pune,Edtech,"INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",0.0,Series A,Pariksha,0
,,,,,,2020,,0,Media,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",24000000.0,0,DailyHunt,0
,,,,,,2020,,Bangalore,Real Estate,General Atlantic,30000000.0,0,NoBroker,0
,,,,,,2020,,Mumbai,Foodtech,"IIFL Seed Ventures Fund, Menlo park",4000000.0,0,Box8,0
,,,,,,2020,,Bangalore,Fintech,"Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon",15000000.0,0,Capital Float,0
,,,,,,2020,,Bangalore,Travel & SaaS,"Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,ITILITE,0
,,,,,,2020,,0,Digital Media,Angel investors,0.0,Seed,Morning Context,0
,,,,,,2020,,Ahmedabad,SaaS,Accel,2000000.0,Seed,Aavenir,0
,,,,,,2020,,0,Healthcare,Indie VC,0.0,0,Savvy Co op,0
,,,,,,2020,,0,Tourism & EV,Mumbai Angels Network,0.0,Series A,BLive,0
,,,,,,2020,,Bangalore,AI,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,Yellow Messenger,0
,,,,,,2020,,0,Media Tech,Inflection Point Ventures,400000.0,0,Toch,0
,,,,,,2020,,Bangalore,Gaming,"Jindal Steels, Jeet Banerjee",200000.0,0,Ewar,0
,,,,,,2020,,0,Fintech,"Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",14259000.0,Series A,Setu,0
,,,,,,2020,,Bangalore,Healthtech,Saama Capital,4000000.0,Series A,Wellthy Therapeutics,0
,,,,,,2020,,Delhi,Health,Venture Catalysts,0.0,0,Power Gummies,0
,,,,,,2020,,Bangalore,Location Analytics,Better Capital,0.0,0,Locale ai,0
,,,,,,2020,,Delhi,Logistics,"M12, Honeywell venture capital, Eight Roads Venture",24500000.0,Series D,FarEye,0
,,,,,,2020,,0,Food tech,Coatue Management,50000000.0,0,Rebel Foods,0
,,,,,,2020,,Chennai,Fintech,"Amazon, Sequoia, Walden SKT Venture Fund",3800000.0,Series D,BankBazaar,0
